State ID,State,Program Name,Type
2,Alaska,Association Loan Program,Loan Program
2,Alaska,Alaska - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
2,Alaska,Rural Power Systems Upgrade Program,Grant Program
2,Alaska,New Home Rebate,Rebate Program
2,Alaska,Alaska - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,Grant Program
2,Alaska,Motor Fuel Tax Reduction for Gasohol,Sales Tax Incentive
2,Alaska,Alaska Solar Easements,Solar/Wind Access Policy
2,Alaska,Building Energy Code,Building Energy Code
2,Alaska,Village Energy Efficiency Program,Grant Program
2,Alaska,,Other Incentive
2,Alaska,Chugach Electric - Fleet EV Charging Program,Rebate Program
2,Alaska,Renewable Energy Grant Program,Grant Program
2,Alaska,Energy Efficiency Interest Rate Reduction Program,Loan Program
2,Alaska,Small Building Material Loan,Loan Program
4,Arizona,Arizona Appliance and Equipment Energy Efficiency Standards,Appliance/Equipment Efficiency Standards
4,Arizona,Mandatory Photovoltaic System Cost Analysis,Line Extension Analysis
4,Arizona,APS AZ Sun DG Program,Utility Rate Discount
4,Arizona,City of Scottsdale - Green Power Purchasing,Green Power Purchasing
4,Arizona,,Building Energy Code
4,Arizona,City of Scottsdale - Green Building Incentives,Green Building Incentive
4,Arizona,City of Scottsdale - Green Building Policy for Public Buildings,Energy Standards for Public Buildings
4,Arizona,TEP Residential Solar Program,Utility Rate Discount
4,Arizona,TEP - Net Metering,Net Metering
4,Arizona,Energy Efficiency Standards,Energy Efficiency Resource Standard
4,Arizona,Tucson Electric Power - Smart EV Charging Program,Rebate Program
4,Arizona,Southwest Gas Corporation - Smarter Greener Better Solar Water Heating Program,Rebate Program
4,Arizona,Solar Contractor Licensing,Solar/Wind Contractor Licensing
4,Arizona,Southwest Gas Corporation - Home Builder Efficiency Rebate Program,Rebate Program
4,Arizona,Tucson Electric Power - Home EV Chargers Rebate,Rebate Program
4,Arizona,Renewable Energy Standard,Renewables Portfolio Standard
4,Arizona,APS - Net Metering,Net Metering
4,Arizona,Southwest Gas Corporation - Combined Heat and Power Program,Rebate Program
4,Arizona,SRP - Residential Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Trico Electric Cooperative  - SunWatts Incentive Program,Rebate Program
4,Arizona,Mohave Electric Cooperative - Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Copy of TEP - Renewable Energy Credit Purchase Program,Rebate Program
4,Arizona,Electric District No. 3 - Solar Rebate Program,Rebate Program
4,Arizona,Duncan Valley Electric Cooperative - SunWatts Rebate Program,Rebate Program
4,Arizona,Sulphur Springs Valley EC - SunWatts Rebate Program,Rebate Program
4,Arizona,City of Maricopa - Solar Rebate Program,Rebate Program
4,Arizona,City of Tucson - Permit Fee Credit for Solar Energy Systems,Green Building Incentive
4,Arizona,APS - Energy Efficiency Solutions for Business,Rebate Program
4,Arizona,Income Tax Subtraction for Energy-Efficient Residences,Personal Tax Deduction
4,Arizona,Energy Efficiency Standards for State Buildings,Energy Standards for Public Buildings
4,Arizona,Renewable Energy Production Tax Credit (Corporate),Corporate Tax Credit
4,Arizona,Mohave Electric Cooperative - Renewable Energy Incentive Program,Rebate Program
4,Arizona,Renewable Energy Production Tax Credit (Personal),Personal Tax Credit
4,Arizona,Solar Design Standards for State Buildings,Energy Standards for Public Buildings
4,Arizona,SRP - Net Metering,Net Metering
4,Arizona,Fuel Mix and Emissions Disclosure,Generation Disclosure
4,Arizona,City of Tucson - Sustainable Energy Standard,Energy Standards for Public Buildings
4,Arizona,Southwest Gas Corporation - Large Commercial Energy-Efficiency Boiler Program,Rebate Program
4,Arizona,Qualified Environmental Technology Facilities Credit,Industry Recruitment/Support
4,Arizona,Salt River Project - Business EV Charger Rebate,Rebate Program
4,Arizona,Interconnection Guidelines,Interconnection
4,Arizona,Solar Construction Permitting Standards,Solar/Wind Permitting Standards
4,Arizona,UES (Gas) - Commercial Energy Efficiency Rebate Program,Rebate Program
4,Arizona,UES (Electric) - Residential Efficiency Program,Rebate Program
4,Arizona,TEP Business Energy Solutions,Rebate Program
4,Arizona,TEP - Residential Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Maricopa County - Renewable Energy Systems Zoning Ordinance,Solar/Wind Permitting Standards
4,Arizona,Credit for Renewable Energy Investment and Production for Self-Consumption by International Operations Centers (Corporate),Corporate Tax Credit
4,Arizona,UES (Electric) - Commercial Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Maricopa Assn. of Governments - Solar Domestic Water Heating Permitting Standards,Solar/Wind Permitting Standards
4,Arizona,Net Billing,Net Metering
4,Arizona,Salt River Project Battery Storage Incentive Program,Rebate Program
4,Arizona,APS - Multifamily Energy Efficiency Program,Rebate Program
4,Arizona,Community solar,Community Solar Rules
4,Arizona,APS - GEOSmart Financing Program,Loan Program
4,Arizona,Energy Equipment Property Tax Exemption,Property Tax Incentive
4,Arizona,Arizona Public Service - Take Charge AZ Pilot Program,Rebate Program
4,Arizona,TEP - Commercial EasySave Program,Rebate Program
4,Arizona,Energy Conservation Standards for Public Buildings,Energy Standards for Public Buildings
4,Arizona,APS - Solar Water Heating Incentive Program,Rebate Program
4,Arizona,City of Phoenix - Energize Phoenix Commercial Incentives,Rebate Program
4,Arizona,Renewable Energy Tax Credit for International Operations Centers (Personal),Personal Tax Credit
4,Arizona,Qualifying Wood Stove Deduction,Personal Tax Deduction
4,Arizona,Salt River Project - Business Energy Efficiency Programs,Rebate Program
4,Arizona,City of Chandler - Green Building Requirement for City Buildings,Energy Standards for Public Buildings
4,Arizona,City of Chandler - Expedited Plan Review for Green Buildings,Green Building Incentive
4,Arizona,UES - Energy Smart Homes Program,Rebate Program
4,Arizona,Arizona Solar Rights,Solar/Wind Access Policy
4,Arizona,UniSource Energy - Contractor Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Copy of TEP - Contractor Energy Efficiency Rebate Program,Rebate Program
4,Arizona,APS - Residential Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Building Energy Code,Building Energy Code
4,Arizona,UES (Gas) - Residential Efficiency Program,Rebate Program
4,Arizona,Phoenix City - Municipal Code 232 Residential Solar PV System Permit,Solar/Wind Permitting Standards
4,Arizona,Tucson City - Solar Farm Permit Requirements,Solar/Wind Permitting Standards
4,Arizona,Pima County - Solar & Wind Permitting Requirements,Solar/Wind Permitting Standards
4,Arizona,City of Phoenix - Energize Phoenix Residential Incentives,Rebate Program
4,Arizona,Solar & Wind Equipment Certification,Equipment Certification
4,Arizona,City of Tucson - Solar Design Requirement for Homes,Building Energy Code
4,Arizona,Sulphur Springs Valley EC - SunWatts Loan Program,Loan Program
4,Arizona,Renewable Energy Business Tax Incentives,Industry Recruitment/Support
4,Arizona,Arizona - Energy-Efficient Residential Appliance Rebate Program,Rebate Program
4,Arizona,Diesel Low Emissions Incentive Grant,Grant Program
4,Arizona,TEP - SunShare PV Purchase,Other Incentive
4,Arizona,TEP - Residential Solar Water Heating Incentive,Rebate Program
4,Arizona,Sulphur Springs Valley EC - Residential Energy Efficiency Loan Program,Loan Program
4,Arizona,Non-Residential Solar & Wind Tax Credit (Corporate),Corporate Tax Credit
4,Arizona,UES - Renewable Energy Credit Purchase Program,Rebate Program
4,Arizona,APS - Solutions for Business Financing,Loan Program
4,Arizona,City of Phoenix - Renewable Energy Goal,Green Power Purchasing
4,Arizona,Town of Buckeye - Green Building Incentive,Green Building Incentive
4,Arizona,Revolving Energy Loans for Arizona (RELA) Program,Loan Program
4,Arizona,City of Phoenix - Design Standards for City Buildings,Energy Standards for Public Buildings
4,Arizona,Solar and Wind Equipment Sales Tax Exemption,Sales Tax Incentive
4,Arizona,Residential Solar and Wind Energy Systems Tax Credit,Personal Tax Credit
4,Arizona,Trico Electric Cooperative - Energy Conservation Home Improvement Loan,Loan Program
4,Arizona,Southwest Gas Corporation - Commercial High-Efficiency Equipment Rebate Program,Rebate Program
4,Arizona,City of Tucson - Solar Dividend,Other Policy
4,Arizona,City of Avondale - Residential Energy Efficency Rebate Program,Rebate Program
4,Arizona,Copy of Duke Energy (Electric) - Residential Energy Efficiency Rebate Program,Rebate Program
4,Arizona,Non-Residential Solar & Wind Tax Credit (Personal),Personal Tax Credit
4,Arizona,Sulphur Springs Valley EC - Residential Energy Efficiency Rebate,Rebate Program
4,Arizona,Alternative Fuel Vehicles Tax Exemption,Personal Tax Exemption
4,Arizona,SRP - Solar Water Heating Program,Rebate Program
4,Arizona,Alternative Fuel Vehicle Fee Reduction Program,Personal Tax Deduction
4,Arizona,APS - Remote Solar Electric Services,Other Incentive
4,Arizona,Property Tax Assessment for Renewable Energy Equipment,Property Tax Incentive
5,Arkansas,SourceGas - Residential Energy Efficiency Rebate Program,Rebate Program
5,Arkansas,OGE- Residential Geothermal Rebate Program,Rebate Program
5,Arkansas,Entergy Arkansas - eTech Program,Rebate Program
5,Arkansas,Building Energy Code,Building Energy Code
5,Arkansas,Local Option- Residential Energy Efficiency Loan Loss Reserve Program,Loan Program
5,Arkansas,Energy Efficiency Targets,Energy Efficiency Resource Standard
5,Arkansas,Arkansas Oklahoma Gas (AOG) Residential Rebate Program,Rebate Program
5,Arkansas,Local Option - Energy Efficiency Project Bonds,Bond Program
5,Arkansas,SourceGas - Energy Efficiency Programs,Rebate Program
5,Arkansas,Petit Jean Electric Cooperative - Energy Efficiency Loan Program,Loan Program
5,Arkansas,Renewable Technology Rebate Fund,Rebate Program
5,Arkansas,South Central Arkansas Electric Cooperative - Energy Resource Conservation Loan,Loan Program
5,Arkansas,CenterPoint Energy - Business Gas Heating Rebates,Rebate Program
5,Arkansas,Biodiesel Production Incentive,Performance-Based Incentive
5,Arkansas,Biodiesel Suppliers Tax Credit,Corporate Tax Credit
5,Arkansas,Disclosure,Generation Disclosure
5,Arkansas,Wind Energy Manufacturing Tax Incentive,Industry Recruitment/Support
5,Arkansas,Solar Mechanic Licensing,Solar/Wind Contractor Licensing
5,Arkansas,Arkansas - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
5,Arkansas,Green Building Standards for State Facilities,Energy Standards for Public Buildings
5,Arkansas,"North Arkansas Electric Cooperative, Inc - Residential Energy Efficiency Loan Program",Loan Program
5,Arkansas,Ozarks Electric Cooperative - Home Energy Lending Program,Loan Program
5,Arkansas,Sustainable Building Design Revolving Loan Fund,Loan Program
5,Arkansas,Alternative Fuels Fund,Grant Program
5,Arkansas,Interconnection Guidelines,Interconnection
5,Arkansas,Energy Technology Revolving Loan Fund,Loan Program
5,Arkansas,Solar Energy Equipment Certification,Equipment Certification
5,Arkansas,First Electric Cooperative - Home Improvement Loans,Loan Program
5,Arkansas,CenterPoint Energy (Gas) - Residential Heating and Hot Water Rebates,Rebate Program
5,Arkansas,Net Metering,Net Metering
5,Arkansas,Solar Hot Water Contractor Licensing,Solar/Wind Contractor Licensing
5,Arkansas,Arkansas Oklahoma Gas Company (AOG) - Commerial and Industrial Efficiency Rebate Program,Rebate Program
5,Arkansas,Clean Fuels Program,Grant Program
5,Arkansas,Level 2 EVSE Rebate Program (Duplicate Entry),Rebate Program
5,Arkansas,AEP SWEPCO - Residential Energy Efficiency Rebate Programs,Rebate Program
5,Arkansas,OGE - Geothermal Heat Pump Program,Loan Program
5,Arkansas,Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates,Rebate Program
5,Arkansas,Alternative Fuel Vehicle Conversion Rebate Program,Rebate Program
5,Arkansas,Arkansas PACE Program,PACE Financing
5,Arkansas,Arkansas - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,Grant Program
5,Arkansas,AEP SWEPCO - Commercial and Industrial Energy Efficiency Rebate Programs,Rebate Program
5,Arkansas,Empire District Electric - Residential Energy Efficiency Rebate Program,Rebate Program
5,Arkansas,Advanced Biofuels Tax Credit,Industry Recruitment/Support
5,Arkansas,Jonesboro City Water & Light - Energy Conservation Rebate Program,Rebate Program
5,Arkansas,Small Business Revolving Loan Fund,Loan Program
5,Arkansas,Entergy Arkansas - New Homes Program,Rebate Program
5,Arkansas,Entergy Arkansas - Residential Compact Fluorescent Quick Start Program,Rebate Program
5,Arkansas,Entergy Arkansas - Residential and Small Commercial AC Tune-Up,Rebate Program
5,Arkansas,Emerging Technology Development Credit,Industry Recruitment/Support
5,Arkansas,Energy-Saving Equipment Deduction,Personal Tax Deduction
5,Arkansas,Entergy Arkansas - Agricultural Energy Solutions Program Rebates,Rebate Program
5,Arkansas,,Other Incentive
5,Arkansas,Entergy Arkansas - Small Business Energy Efficiency Programs,Rebate Program
5,Arkansas,OGE - Commercial Energy Efficiency Rebate Programs,Rebate Program
5,Arkansas,Reduce Emissions from Diesels (Go RED!) Program,Grant Program
5,Arkansas,Level 2 EVSE Rebate Program,Rebate Program
5,Arkansas,Advanced Bus and Clean (ABC) Transportation Program,Grant Program
5,Arkansas,Entergy Arkansas - Commercial and Industrial Energy Efficiency Programs,Rebate Program
5,Arkansas,Entergy Arkansas - CitySmart Energy Efficiency Program,Rebate Program
5,Arkansas,Entergy Arkansas - Residential Energy Efficiency Programs,Rebate Program
6,California,Marin Clean Energy - Feed-In Tariff Plus,Feed-in Tariff
6,California,City of San Diego - Green Building Incentives,Green Building Incentive
6,California,City of Palo Alto Utilities - New Construction Residential Rebate Program,Rebate Program
6,California,City of Santa Monica - Building Permit Fee Waiver for Solar Projects,Green Building Incentive
6,California,City of Palo Alto - Green Building Requirement,Building Energy Code
6,California,LADWP - Net Metering,Net Metering
6,California,Lassen Municipal Utility District - PV Rebate Program,Rebate Program
6,California,Western Riverside Council of Governments - Home Energy Renovation Opportunity (HERO) Financing Program,PACE Financing
6,California,City of Shasta Lake Electric Utility - PV Rebate Program,Rebate Program
6,California,Solar or Wind Energy System Credit - Corporate,Corporate Tax Credit
6,California,City of San Francisco - Green Building Requirement for City Buildings,Energy Standards for Public Buildings
6,California,Anaheim Public Utilities - PV Buydown Program,Rebate Program
6,California,California Solar Rights Act,Solar/Wind Access Policy
6,California,Clean Transportation Program,Grant Program
6,California,California Electric Vehicle Infrastructure Project (CALeVIP),Rebate Program
6,California,California Capital Access Program (CalCAP),Loan Program
6,California,California Clean Fuel Reward,Rebate Program
6,California,City of Gridley Utilities - PV Buy Down Program,Rebate Program
6,California,City of Palo Alto Utilities - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,,Other Policy
6,California,California Wind Access Law,Solar/Wind Access Policy
6,California,PG&E (Gas) - Multi-Family Residential Energy Efficiency Rebates,Rebate Program
6,California,Marin County - Wood Stove Replacement Rebate Program,Rebate Program
6,California,City of Palm Desert - Energy Independence Program,PACE Financing
6,California,Marin County - Natural Gas Appliance Replacement Rebate Program,Rebate Program
6,California,Colton Public Utilities - Commercial Lighting Rebate Program,Rebate Program
6,California,Energy Storage Procurement Target,Energy Storage Target
6,California,Pacific Power - PV Rebate Program,Rebate Program
6,California,Los Angeles County - LEED for County Buildings,Energy Standards for Public Buildings
6,California,Marin County - Green Building Requirements,Building Energy Code
6,California,Clean Vehicle Rebate Project (CVRP),Rebate Program
6,California,LADWP - Solar Feed-in Tariff Demonstration Program,Performance-Based Incentive
6,California,City of Palo Alto Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Los Angeles County - Green Building Program,Building Energy Code
6,California,Local Option - Municipal Energy Districts,PACE Financing
6,California,Solar or Wind Energy System Credit - Personal,Personal Tax Credit
6,California,Burbank Water & Power - Energy Solutions Business Rebate Program,Rebate Program
6,California,Burbank Water & Power - Business Bucks Energy Efficiency Grant Program,Grant Program
6,California,Tax Deduction for Interest on Loans for Energy Efficiency,Personal Tax Deduction
6,California,City of San Francisco - Green Building Code,Building Energy Code
6,California,Western Riverside Council of Governments - Commercial PACE (duplicate),PACE Financing
6,California,,PACE Financing
6,California,Lodi Electric Utility - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,Anaheim Public Utilities - Commercial & Industrial New Construction Rebate Program,Rebate Program
6,California,Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,Property Tax Incentive
6,California,Homebuyer Solar Option and Solar Offset Program,Building Energy Code
6,California,Small Business Energy Loan Program,Loan Program
6,California,Burbank Water & Power - Green Building Incentive Program,Green Building Incentive
6,California,City of Palo Alto Utilities - PV Partners Program,Rebate Program
6,California,Burbank Water & Power - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,City of Los Angeles - Green Building Retrofit Requirement,Energy Standards for Public Buildings
6,California,Energy Technology Export Program,Industry Recruitment/Support
6,California,Moreno Valley Electric Utility - Solar Electric Incentive Program,Rebate Program
6,California,Anaheim Public Utilities - Green Building Rebate Program,Rebate Program
6,California,Pasadena Water and Power - Solar Power Installation Rebate,Rebate Program
6,California,PG&E - Data Center Cooling Control Program,Rebate Program
6,California,Solar Energy and Distributed Generation Grant Program,Grant Program
6,California,Energy Upgrade California,Rebate Program
6,California,City of Los Angeles - Green Power Purchasing,Green Power Purchasing
6,California,SDG&E (Gas) - Energy Efficiency Business Rebates,Rebate Program
6,California,SDG&E (Gas) - Residential Energy Efficiency Loan Program,Loan Program
6,California,SDG&E (Gas) - Residential Efficiency Rebate Program,Rebate Program
6,California,SDG&E (Gas) - Multi-Family Residential Efficiency Program,Rebate Program
6,California,City of Davis - Solar Shade Control Act,Solar/Wind Access Policy
6,California,LADWP - Priority Service for Green Buildings,Green Building Incentive
6,California,Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,Sales Tax Incentive
6,California,City of Lompoc Utilities - Residential Refrigerator Energy Efficiency Programs,Rebate Program
6,California,Silicon Valley Power - Data Center Optimization Program,Rebate Program
6,California,Riverside Public Utilities - Residential PV Incentive Program,Rebate Program
6,California,Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project (HVIP),Rebate Program
6,California,Energy Efficiency Financing for Public Sector Projects,Loan Program
6,California,California Solar Initiative - Low-Income Solar Water Heating Rebate Program,Rebate Program
6,California,City of Lompoc Utilities - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,California - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,Grant Program
6,California,Los Angeles County - Commercial PACE,PACE Financing
6,California,City of San Francisco - Solar Program,Green Power Purchasing
6,California,Colton Public Utilities - PV Rebate Program,Rebate Program
6,California,Glendale Water and Power - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Emerging Renewables Program,Rebate Program
6,California,Palo Alto Utilities - Remote Renewables Program,Grant Program
6,California,City of San Jose - Private Sector Green Building Policy,Building Energy Code
6,California,Self-Generation Incentive Program,Rebate Program
6,California,Silicon Valley Power - Solar Electric Buy Down Program,Rebate Program
6,California,City of San Diego - Sustainable Building Expedited Permit Program,Green Building Incentive
6,California,City of Davis - Green Power Purchasing,Green Power Purchasing
6,California,Santa Clara Water & Sewer - Solar Water Heating Program,Leasing Program
6,California,City of Lompoc Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Geothermal Grant & Loan Program,Grant Program
6,California,Glendale Water and Power - AC Energy Efficiency Rebate Program,Rebate Program
6,California,Turlock Irrigation District - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,Glendale Water and Power - Large Business Energy Efficiency Program,Rebate Program
6,California,IID Energy - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Copy of City of Palo Alto Utilities - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,Pasadena Water and Power - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Renewables Portfolio Standard,Renewables Portfolio Standard
6,California,City of Fresno - Installation of Solar Energy Systems in Construction of New City-owned Buildings,Energy Standards for Public Buildings
6,California,San Bernardino County – Accessory Wind Energy System Permit,Solar/Wind Permitting Standards
6,California,Los Angeles County - WECS-N and Temp Met Towers,Solar/Wind Permitting Standards
6,California,San Bernardino County - Solar Energy Development Standards,Solar/Wind Permitting Standards
6,California,City of San Francisco - Green Building and Efficiency/Electrification Requirements for City Buildings,Energy Standards for Public Buildings
6,California,City of Long Beach - Green Building Policy for Municipal Buildings,Energy Standards for Public Buildings
6,California,Modesto Irrigation District - Custom Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,Small Business Loans for Solar,Loan Program
6,California,Santa Clara County - Solar Access for Subdivision Development (duplicate),Solar/Wind Access Policy
6,California,Santa Clara County - Solar Access Easements,Solar/Wind Access Policy
6,California,Santa Clara County - Solar and Wind Energy Conversion Systems,Solar/Wind Access Policy
6,California,Santa Clara County - County Green Building Standards Code,Building Energy Code
6,California,Glendale Water and Power - Small Business Energy Efficiency Rebate Program,Rebate Program
6,California,Public Leadership Solutions for Energy (PULSE) Loan,Loan Program
6,California,Glendale Water and Power - Solar Solutions Program,Rebate Program
6,California,Redding Electric - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Riverside Public Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,Riverside Public Utilities - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,City of Oakland - Green Building Policies and Requirements,Building Energy Code
6,California,Modesto Irrigation District - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,City of Palo Alto Utilities - Commercial and Non-Profit Efficiency Loan Program,Loan Program
6,California,Modesto Irrigation District - Residential Energy Efficiency Rebate Program,Rebate Program
6,California,City of Oakland - Photovoltaic Generation Systems Project,Green Power Purchasing
6,California,Lassen Municipal Utility District - Public Benefit Energy Efficiency Program,Rebate Program
6,California,Tax Rate on Ethanol or Methanol,Corporate Tax Exemption
6,California,Pasadena Water and Power - Commercial Energy Efficiency Rebate Program,Rebate Program
6,California,Green Building Action Plan for State Facilities,Energy Standards for Public Buildings
6,California,California - Home Electrification and Appliance Rebate (HEAR) Program,Rebate Program
6,California,Lodi Electric Utility - Commercial and Industrial Energy Efficiency Loan Program,Loan Program
