State,Electricity Price (cents/kWh),CO2 (lb/MWh),renew prod (1000MWh),nonrenew prod (1000MWh),production (1000MWh),Urban Population,Urban Population (%),avg annual temp (F),avg annual precip (in),avg annual sunlight (kJ/m^2),num_plants,num_renewable,num_nonrenewable,total area (mile^2),water percentage,total consumption,Renewable Policies
Alabama,11.59,787.656,15189,130516,145705,2900880.0,57.7,62.8,56.9,4660.0,79,34,45,"52,420",3.40%,504164,65
Kentucky,10.51,1720.072,5172,64123,69295,2644856.0,58.7,55.6,50.4,4383.0,60,24,36,"40,408",2.30%,162292,103
Mississippi,10.36,886.211,2327,65979,68306,1370790.0,46.3,63.4,58.5,4693.0,61,20,41,"48,432",3.10%,391964,46
Tennessee,10.89,693.632,10585,68193,78778,4577282.0,66.2,57.6,55.1,4486.0,89,63,26,"42,144",2.20%,167096,88
Arkansas,9.91,1055.801,6081,60791,66872,1670677.0,55.5,60.4,52.5,4725.0,96,64,33,"53,179",2.10%,211244,60
Louisiana,10.41,818.058,3657,100435,104092,3332237.0,71.5,66.4,59.7,4725.0,89,11,78,"52,378",17.50%,664085,51
Oklahoma,10.05,686.629,39793,45010,84803,2558611.0,64.6,59.6,36.4,4912.0,131,91,41,"69,899",1.90%,305931,55
Texas,10.16,818.537,164759,383810,548569,24400697.0,83.7,64.8,28.6,5137.0,873,414,459,"268,596",2.70%,2341286,207
Arizona,11.31,709.12,25296,90466,115762,6385230.0,89.3,60.3,11.6,5755.0,169,123,46,"113,990",0.30%,348446,107
Colorado,11.75,1166.201,24570,37244,61814,4966936.0,86.0,45.1,18.0,4960.0,292,232,60,"104,094",0.40%,144383,206
Idaho,8.51,247.852,12599,4392,16991,1273437.0,69.2,44.4,23.7,4251.0,143,121,22,"83,569",1.10%,41517,68
Montana,9.97,1023.457,14052,13117,27169,579177.0,53.4,42.7,18.9,3847.0,70,53,17,"147,040",1.00%,15936,65
Nevada,10.94,676.959,25412,27594,53006,2921203.0,94.1,49.9,10.2,5296.0,112,73,39,"110,572",0.70%,192310,54
New Mexico,10.02,985.806,19167,24289,43456,1578552.0,74.5,53.4,13.8,5642.0,141,118,23,"121,590",0.20%,98682,69
Utah,8.8,1514.282,10338,33674,44012,2937303.0,89.8,48.6,13.5,4887.0,123,85,38,"84,897",3.20%,96506,60
Wyoming,8.24,1804.487,10920,35308,46228,357750.0,62.0,42.0,16.0,4471.0,71,46,25,"97,813",0.70%,44369,45
California,22.33,455.94,150315,114568,264883,37259490.0,94.2,59.4,22.3,5050.0,1757,1185,572,"163,695",4.80%,775459,378
Oregon,9.26,298.211,44238,19092,63330,3410984.0,80.5,48.4,32.1,3830.0,269,230,39,"98,379",2.40%,139450,200
Washington,9.05,184.81,88860,28052,116912,6424035.0,83.4,48.3,43.2,3467.0,141,106,35,"71,298",6.80%,115730,213
